,content
207,"Uninstall aja nih aplikasi, rugiin aja,, UD dibantu teman tapi ga ada pengaruhnya, suruh bagi link, terus UD dibagi 38 orang klik bantu , yang muncul membantu cuman 1 orang..... 😤😤🤬😡🤬😡🤬😡🤬😡🤬😡"
208,Sangat bagus
209,Harga 9k = penipuan
210,Beneran promo nya install aplikasi ini dapet harga semua menu 9 ribu rupiah mantap 😋
211,sangat Nikmat Cofee nya
212,"Integrasi aplikasi dengan lokasi tomoro tidak baik, Order dri aplikasi jam 12:18. Ditunggu 10mins trus ke kasir belum siap, kedua kali bru dibuat. Akhirnya minuman ready 13:06. Klo belum ready, jangan dirilis.."
213,Super duper yg paling nikmat cuman di tomoro coffee
214,Tempat nyaman utk ngopi
215,"Sebenarnya minuman Tomoro enak dan harganya juga terjangkau. Saya tes pesan dari aplikasi (biasanya di toko langsung). Pas pesanan saya sampe, saya cuman terima 4 minuman dari 5 minuman yang saya pesan. Saya juga langsung cari cara buat komplain dan cmn bisa di IG komplain. Setelah saya isi data komplain malah di balas ""...Untuk saat ini kami sedang tidak ada di tempat untuk sementara waktu..."" . Setelah saya tunggu juga sebulanan tidak ada kabar dan penjelasan. Jujur kecewa banget sih🥲"
216,APK JELEEEK PELAYANANYA BURUK produk indonesia yg gk worth it...kopi biasa aja
217,Agak aneh semua serba 9000... Tapi hanya 1 coffe yg dihargai 9000. Harusnya disampaikan di awal
218,"Minumannya enak, tapi kenapa cup nya harus diganti? Padahal cup yang lama lebih bagus Sama mau minta tolong, supaya tiap outlet ada musholla nya biar bisa sholat Terima kasih🙏🏻"
219,bykn lg voucher serba 9rb nya y...
220,Pesanan saya selalu error dan dibatalin ama appnya sendiri
221,Good application.
222,Jangan mau ikutan promo gratis nya. Harus invite bbrp orang dulu baru bisa. Nyusahin banget buat ngejar promo juga. Kopi kenangan aja ga seribet ini
223,"Mending ga usah dowload. Ga jelas bgt, cuma nguji kesabaran kalian aja ni apk. Ngasih embel-embel gratis, tapi di persulit."
224,"Eh. Anj.. Itu yg free Coffee ampe berapa orang.? Udah klik 5x masih blm bisa dan sisa. 392 rupiah. Terakhir potongan 128 rupiah, berap klik lagi??? Seharusnya ada berapa kali klik. Kluh emang gak niat gak usah di adain. Emang bangke..!!! Tolol..!!!"
225,Klaim kopi gratisnya belibet. Udah reff ke nomer lain motongnya nanggung. Kurang 520 rupiah doang ya ampun
226,Aplikasi cacat stuck mulu loadingnya
227,Cofee nya gak enak Cofee nya pahit Tambah pegawai nya pada sombong
228,Well done
229,"Rasa kopi boleh, tiap order yg best seller selalu habis, pelayanan kurang,"
230,Kenapa sekarang tak lagi double point tiap hari Jumat
231,"Menu bagi"" kopi gratisnya kalau udah mencapai 9rb pasti loadimg terus sampai ngulang dari awal lagi. Bgitu seterusnya."
232,"Makin sini makin mahal, promo sedikit, mending kopi kenangan"
233,"gajelas banget, udh milih pesen di outlet yg deket rumah udah selesai juga pembayaran via shopee pay. tau taunya malah bayar ke outlet yang di jakarta pusat. kok bisa aplikasi nya ngarahin pembayaran ke outlet yg beda sama tempat mesennya jelas jelas outlet yg dipilih pas mesen bukan di jakarta pusat."
234,Aplikasi gaje
235,Awal ny sih ok nih aplikasi.. tp br sadar kayak di prank misi2 point dan promo ny .. jd gak pernah dpt deh
236,"Tidak bisa login, saat memasukkan nomor HP tidak ada respon (tombol panah tidak dapat diklik)"
237,Scam dah hahhh apaan gratis darimananya dah scam scam
238,"Beli pake apps pake gopay, pas mau pick up staff nya bilang lagi errorz status pesanan lagi di proses, staff nya bilang anak ke cancel sendiri dan dana akan balik lagi, besok nya di cek status malah berubah jadi pesanan selesai, apa apaan ini. Komplen ke Ig official nya juga di cuekin"
239,"aplikasinya suka ngeleg, LOL"
240,Buset tinggal rp 500 perak lagi kirain butuh satu referral aja buat dapetin kopi ternyata kalo udah 500 perak 1 refferal cuma rp 80 kalo gitu kapan dapet kopinya co
241,Good
242,Hoax kopi gratis yang pernah ada dimuka bumi ini mah
243,Banyak diskon dan apk sangat cepat. Sangat direkomendasikan 🥰
244,Kamu perlu coba
245,"""Niw isir simii sirbi simbilin ribi""😒 Padahal pengguna baru, tapi kopi yg 9rb gabisa terus... parameter error.."
246,banyak promo dan pelayanan memuaskan
247,Voucher ngga ada udah undang ngga dapat..
248,Aku bingung nyari kode ref nya dmana
249,Gjls ngerjain bgt kalo ga niat ngasih gratis mah mending gsh pdhl udh lengkap tpi tetep aja gabisa
250,please adain pembayaran via VA BCA donggggg
251,"Kopinya lumayan tapi aplikasinya aturan barunya nggak asik. Take away, kantongnya harus bayar cukup mahal padahal sebelumnya free. Bonus untuk pelanggan pun acak dan lebih sering kurang berguna bonusnya."
252,"Minumannya enak2, gk encer dan manis. Cuma masukan buat yg mau dpt 9.000 utk new user, bayarnya lewat kasir aja nanti dibantu. Saya bayar lewat dana dianggap gagal pembayaran, padahal sdh terpotong 9.000.."
253,"Aplikasi ribet bikin mood rusak. niatnya bli lewat aplikasi ini, transaksi byar lwat ovo sukses ,sldo terpotong. tapi di aplikasi ini status nya stuck,blum bayar. Jd hrus nunggu lama."
254,Tomoro untuk deliverynya coba alamatnya biar bisa nentuin lgsg di peta. Soalnya kurang tepat kalau cuma ngetik nyari alamat
255,Enak
256,"Banyak kali promo wee, BISA DAPAT 0 RUPIAHH"
257,Bilang nya suruh download biar dapet serba 9k. Pas udah download gak di kasih penjelasan lanjut terus gak dapet apa yg di janjikan. Rasanya sama harga gak sebanding🤢
258,"Pesanan tidak sampai, kalau sudah bermitra dengan aplikasi ojek online sistemnya diperbaiki, masa tidak ada riwayat tracking mitra pengemudi, aplikasi juga tidak ada fitur bantuan lewat CS, bertanya via sosmed tomoro tidak dijawab sama sekali, sudah 3 hari dana saya tidak kembali"
259,"ini aplikasi nya malah eror knp , byar pake shopee gak bisa redirect ke shopee malah suruh install aplikasi shopee pdhal udh ada di hp"
260,Mantuuuullll
261,Banyak promo menarik dan pelayan nya ramah
262,Kopi gk jelas di kerjain suruh download tpi syaratnya ribet bgt mau dapat potongan harga 22rb doang harus kirim² ke orang suruh download dikira kita seles dari aplikasinya.
263,bad service :((
264,promo hoax gratis . cape' saya keliling minta tolong orang malah hoaxxxx
265,cing atuh
266,Sangat membantu
267,"Pesanan lewat aplikasi, dianaktirikan. Walau datang duluan, tetapi blm dilayani, prioritas yg dine ini dulu itu ,ini kebijakan macam apa? Bikin malas pesan lewat aplikasi jadi pesanan akhirnya jadi lama,"
268,Tipu tipu
269,Good
270,"Kecewa...Gak pernah bisa dapat kopi gratis dari share referal. Padahal udah ngumpulin orang banyak buat bantu. Harus tuker koin terus, baru bisa dapat kopi gratis. Terus promo nya juga dikit..."
271,"Promonya menjebak, terlalu bertele-tele. Mending kopi kenangan atau point coffee yang iklan dan rasanya jelas. Mau mencoba saja jadi malas."
272,"Tempatnya enak, menunya ok. Tapi gratis 0rp ga niat. Potongan banyak yg ga masuk, padahal udah banyak yg bantu"
273,KOPI NIKMAT
274,Memuaskan . Dan rasanya nikmat
275,"gratis kopi nya Ga niat, Diphp trs ribet :) , service error trs. member potongannya double tpi cuma 8 :)) pdhl sebelumnya pada 120 130 an, Aplikasi QR nya sring error."
276,"Gratis kopi nya php. Sdh sampai brp kontak yg dibagi semakin kecil persentase gratis nya dibuat se olah"" disengaja. Lbh baik perbanyak vocer diskon aja tiap hari drpd free kopi gak guna"
277,"Kesan pertama di Tomoro, sudah coba menu caramel macchiato 2 produk sebelah, tapi untuk menu di Tomoro ini memang beda, kopi dan caramelnya sangat pekat yg membuat Coffee caramel macchiato nya lebih nikmat. Pelayannya juga ramah banget. First impression yg sangat bagus dari Tomoro, bisa jadi pilihan tempat nongki baru nih selain ""tempat kopi sebelah"""
278,Aplikasi promo gratis dan 9000 nya hoax
279,Cuman iming iming voucher 👎
280,Berkali-kali beli tumpah udah kompline di ig dan dm gak dibaca baca.kopi nya terlalu strong.3 kali tumpah .rugi dong
281,Fraud!!!
