content,tokenized_text,stemmed_text,filtered_text,tokenized_stemmed_text
pintar  juga ini aplikasi biar tidak bisa ambil reward nya crash bolak balik dan disuruh login berkalilicik benar ,"['pintar', 'juga', 'ini', 'aplikasi', 'biar', 'tidak', 'bisa', 'ambil', 'reward', 'nya', 'crash', 'bolak', 'balik', 'dan', 'disuruh', 'login', 'berkalilicik', 'benar']",pintar juga ini aplikasi biar tidak bisa ambil reward nya crash bolak balik dan suruh login berkalilicik benar,pintar aplikasi biar ambil reward crash bolak balik suruh login berkalilicik benar,"['pintar', 'aplikasi', 'biar', 'ambil', 'reward', 'crash', 'bolak', 'balik', 'suruh', 'login', 'berkalilicik', 'benar']"
habis di update jadi malah tidak bisa login,"['habis', 'di', 'update', 'jadi', 'malah', 'tidak', 'bisa', 'login']",habis di update jadi malah tidak bisa login,habis update malah login,"['habis', 'update', 'malah', 'login']"
saya baru download aplikasi ini mau daftar pengguna baru tapi loading lama sekali  sudah berkali di coba selalu error saya uninstall lagi saja ,"['saya', 'baru', 'download', 'aplikasi', 'ini', 'mau', 'daftar', 'pengguna', 'baru', 'tapi', 'loading', 'lama', 'sekali', 'sudah', 'berkali', 'di', 'coba', 'selalu', 'error', 'saya', 'uninstall', 'lagi', 'saja']",saya baru download aplikasi ini mau daftar guna baru tapi loading lama sekali sudah kali di coba selalu error saya uninstall lagi saja,baru download aplikasi mau daftar baru loading lama sekali kali coba selalu error uninstall,"['baru', 'download', 'aplikasi', 'mau', 'daftar', 'baru', 'loading', 'lama', 'sekali', 'kali', 'coba', 'selalu', 'error', 'uninstall']"
sering buglag tidak jelas sulit di akses,"['sering', 'buglag', 'tidak', 'jelas', 'sulit', 'di', 'akses']",sering buglag tidak jelas sulit di akses,sering buglag jelas sulit akses,"['sering', 'buglag', 'jelas', 'sulit', 'akses']"
pesanan delivery via aplikasi tidak merespon ngapain juga buat aplikasi kalau tidak fungsi aplikasi sampah,"['pesanan', 'delivery', 'via', 'aplikasi', 'tidak', 'merespon', 'ngapain', 'juga', 'buat', 'aplikasi', 'kalau', 'tidak', 'fungsi', 'aplikasi', 'sampah']",pesan delivery via aplikasi tidak merespon ngapain juga buat aplikasi kalau tidak fungsi aplikasi sampah,pesan delivery via aplikasi merespon ngapain aplikasi fungsi aplikasi sampah,"['pesan', 'delivery', 'via', 'aplikasi', 'merespon', 'ngapain', 'aplikasi', 'fungsi', 'aplikasi', 'sampah']"
barusan coba daftar pakai gmail ada notifikasi kode otp dikirim ke nomor saya padahal saya daftar pakai email saya coba daftar pakai nomor saya dengan email yang sama ditolak karena sudah register saya cek email tidak ada email apapun bagaimana ini update sekarang sudah bisa login setelah dibantu cs lewat email terima kasih banyak semuanya,"['barusan', 'coba', 'daftar', 'pakai', 'gmail', 'ada', 'notifikasi', 'kode', 'otp', 'dikirim', 'ke', 'nomor', 'saya', 'padahal', 'saya', 'daftar', 'pakai', 'email', 'saya', 'coba', 'daftar', 'pakai', 'nomor', 'saya', 'dengan', 'email', 'yang', 'sama', 'ditolak', 'karena', 'sudah', 'register', 'saya', 'cek', 'email', 'tidak', 'ada', 'email', 'apapun', 'bagaimana', 'ini', 'update', 'sekarang', 'sudah', 'bisa', 'login', 'setelah', 'dibantu', 'cs', 'lewat', 'email', 'terima', 'kasih', 'banyak', 'semuanya']",barusan coba daftar pakai gmail ada notifikasi kode otp kirim ke nomor saya padahal saya daftar pakai email saya coba daftar pakai nomor saya dengan email yang sama tolak karena sudah register saya cek email tidak ada email apa bagaimana ini update sekarang sudah bisa login telah bantu cs lewat email terima kasih banyak semua,barusan coba daftar pakai gmail notifikasi kode otp kirim nomor padahal daftar pakai email coba daftar pakai nomor email tolak register cek email email apa bagaimana update sekarang login bantu cs lewat email terima kasih banyak semua,"['barusan', 'coba', 'daftar', 'pakai', 'gmail', 'notifikasi', 'kode', 'otp', 'kirim', 'nomor', 'padahal', 'daftar', 'pakai', 'email', 'coba', 'daftar', 'pakai', 'nomor', 'email', 'tolak', 'register', 'cek', 'email', 'email', 'apa', 'bagaimana', 'update', 'sekarang', 'login', 'bantu', 'cs', 'lewat', 'email', 'terima', 'kasih', 'banyak', 'semua']"
banyak gratis nya,"['banyak', 'gratis', 'nya']",banyak gratis nya,banyak gratis,"['banyak', 'gratis']"
tidak bisa isi alamataneh,"['tidak', 'bisa', 'isi', 'alamataneh']",tidak bisa isi alamataneh,isi alamataneh,"['isi', 'alamataneh']"
baik,['baik'],baik,baik,['baik']
katanya dapat  gratis pizza pakai voucher tapi malah voucher nya tidak bisa dipakai,"['katanya', 'dapat', 'gratis', 'pizza', 'pakai', 'voucher', 'tapi', 'malah', 'voucher', 'nya', 'tidak', 'bisa', 'dipakai']",kata dapat gratis pizza pakai voucher tapi malah voucher nya tidak bisa pakai,kata gratis pizza pakai voucher malah voucher pakai,"['kata', 'gratis', 'pizza', 'pakai', 'voucher', 'malah', 'voucher', 'pakai']"
